employee_id,first_name,last_name,gender,age,department,job_role,city,hire_date,base_salary
E1011,Shreya,Mehta,Female,25.0,Operations,Operations Executive,Delhi,2021-05-24,31967.0
E1080,Reyansh,Das,Male,40.0,  Finance  ,Finance Manager,Pune,2024-06-17,115508.0
E1165,Neha,Shah,Male,41.0,HR,HR Manager,Pune,2024-05-01,90392.0
E1143,Deepak,Banerjee,Female,30.0,IT,IT Support Executive,Ahmedabad,24/10/2023,
E1070,Deepak,Das,Female,22.0,Operations,Operations Manager,  Ahmedabad  ,2019-07-29,70772.0
E1134,Aadhya,Chatterjee,Male,49.0,sales,Business Development Associate,Mumbai,2020-10-30,48997.0
E1036,Krishna,Singh,Female,57.0,Customer Support,Customer Support Executive,Delhi,2024-06-23,45295.0
E1138,Manoj,Kulkarni,Female,26.0,CUSTOMER SUPPORT,Quality Analyst,Ahmedabad,06/10/2024,62331.0
E1026,Amit,Chatterjee,Female,51.0,Finance,Accounts Executive,Ahmedabad,15/10/2022,28090.0
E1003,Manoj,Reddy,Male,55.0,operations,Process Associate,  Ahmedabad  ,2022-06-14,39719.0
E1013,Pallavi,Chopra,Female,48.0,Customer Support,Quality Analyst,Ahmedabad,11-Nov-2020,59373.0
E1129,Sunita,Sharma,Female,50.0,IT,QA Engineer,HYDERABAD,2023-02-24,49840.0
E1145,Geeta,Kulkarni,Male,55.0,Operations,Operations Manager,,2024-03-29,122184.0
E1004,Kabir,Das,Male,48.0,  Finance  ,Finance Analyst,Chennai,21/10/2021,-55189.0
E1049,Ananya,Rao,Male,27.0,Customer Support,Quality Analyst,  Ahmedabad  ,2024-06-27,75847.0
E1030,Manoj,Iyer,Female,24.0,  Marketing  ,Marketing Executive,Mumbai,2023-11-16,49692.0
E1015,Ashok,Gupta,Female,45.0,Operations,Process Associate,Ahmedabad,2019-09-03,42338.0
E1120,Riya,Bose,Female,30.0,Customer Support,Team Lead - Support,Kolkata,04-Jul-2024,29136.0
E1007,Sanjay,Reddy,Female,25.0,Customer Support,Quality Analyst,MUMBAI,14-May-2022,63965.0
E1024,Deepak,Patel,Male,21.0,Finance,Finance Manager,Pune,2024-04-05,100007.0
E1109,Meera,Gupta,Male,41.0,Marketing,Marketing Manager,hyderabad,2021-04-18,85194.0
E1144,Ananya,Verma,Female,44.0,HR,Talent Acquisition Specialist,Delhi,2019-12-13,74143.0
E1130,Kiran,Deshmukh,Female,37.0,HR,HR Manager,Kolkata,14-Jul-2021,96111.0
E1175,Shreya,Mishra,Male,40.0,  HR  ,Talent Acquisition Specialist,Chennai,09/06/2022,66827.0
E1046,Ishaan,Verma,Female,40.0,Finance,Accounts Executive,Chennai,2024-06-22,54455.0
E1121,Reyansh,Mishra,Female,49.0,finance,Finance Manager,Pune,2019-01-09,129890.0
